,Reason
blacklisted,131
cheating,53
aimbot,49
failure to provide 2 demo requests.,42
second failure to upload demos,27
triggerbot,23
racism,22
multihack,16
failure to provide 2 demo requests,15
harassment,14
intentionally adding a banned player to ,14
failure to provide 3 demo requests.,11
assisting in ban evasion,10
esp,10
alt of frozzzen,10
"esp, aimbot",9
knowingly playing with alt,9
match disruption,8
wallhack,8
ban evasion,8
2nd failed demo request,7
implicit to account sharing fraud,7
failure to provide demos twice,7
assisting usage of alt accounts,7
adding and playing with known banned pla,6
failure to upload demos twice,6
supporting a cheater,6
third failure to upload demos,5
account sharing,5
esp hack,5
accessory to account sharing,5
merc circumvention,5
failure to provide 3 demo requests,4
aimbot.,4
failure to provide 4 demo requests.,4
assisting in ban evasion.,4
multi account,4
2nd failure to upload,4
failing to upload requested pov demo’s t,3
failure to provide demos three times,3
speedhack,3
multiaccounting in the same season,3
failure to provide demos,3
esp/aimbot,3
cheating (2nd time),3
player misconduct,3
ban dodging,3
non-permitted acquisition of profits,3
alting and knowingly playing with alts,3
racism and transphobia,3
failing to provide requested demos,2
inappropriate behavior around a minor,2
ban dodging/102646,2
non-permitted acquisition of profits.,2
demos provided.,2
bandodging,2
alt of reasonnn s2,2
alt of bestsniperworld,2
racism.,2
alt of mikysthepony,2
alt of general iroh ,2
"heavy insults, threats of violence",2
alt of thespok,2
harassment towards another user,2
alt of j7,2
severe flaming,2
harassment of another community member within etf2l discord,2
supporting multi-accounting,2
assistance in ban evasion,2
racial slurs &amp; match disruption,2
cheating 2nd time,2
wallhack/esp,2
rostering banned players,2
playing in the league with 2 accounts,2
-,2
abusing alt account,2
alt account of elm0re,2
esp.,2
supporting ban evasion of a permanently banned player,2
cheating - 2nd time,2
wallhack + triggerbot,2
alt of roks,1
	failure to provide 3 demo requests.,1
triggerbot &amp; avoiding a ban,1
alt of cho,1
fourth failure to upload demos,1
repeated misconduct/racism,1
alternative account of deputy,1
dxp|pain 2nd account,1
abuse of confidential information,1
cheating (alt of deth),1
alt of general iroh,1
double account zarix,1
"flaming, multi account",1
second account reaction,1
/,1
smurfing in hlo#3,1
alt of 94521,1
attempted nationality fraud,1
alt account of hako,1
2nd account of tappa,1
ban evasion.,1
demo request fraud attempt.,1
abusing an exploit.,1
2nd account sandik,1
assisting a fraud attempt,1
evasion,1
alt of reasonnn s2.,1
"wallhack, triggerbot",1
failure to provide 2 demo requests (provided),1
account sharing with banned user,1
knowingly playing with a banned player,1
"bandodging, alt of shy",1
failed to provide demos,1
sharing accounts (vortex_current),1
continued cheating,1
"cheating, ban evasion",1
aimbot/wallhack,1
inappropriate behaviour around a minor,1
ban dodging/94521,1
ban removed. posted demos.,1
alt of rosie maiden,1
alt of necum,1
alt account,1
failure to provide 2 demo requests/fraud,1
3rd failed demo request,1
