ID,Name,Country,Reason
76561198016058353,⌁Snalz⌁,UnitedStates,VAC
76561199081791119,Sni,International,VAC
76561198160818621,johnclever25,International,VAC
76561198080419334,galaxy1190,International,VAC ban
76561198080419334,galaxy1190,International,Blacklisted
76561198202349185,Toast,International,VAC
76561198860164964,sourcex,International,VAC
76561198018923956,TheReduxPL,International,VAC
76561198885640483,DofDafg,International,VAC
76561198167313691,Smooth,International,"ESP, aimbot"
76561198167313691,Smooth,International,VAC ban
76561198087547966,Jeong Jeong,Georgia,Adding and playing with known banned pla
76561198139672036,not_special,SouthKorea,VAC
76561198091388408,pinky of Buddha,Russia,Alting and knowingly playing with alts
76561198195663689,CallSignKFC,International,VAC
76561198162277619,Hubcio MPK,International,VAC
76561198287854546,Green Heart,Russia,"Non-TF2 VAC, removed"
76561198033884504,Samski,UnitedKingdom,Second failure to upload demos
76561198815657633,rocketmanz,International,VAC
76561198815657633,rocketmanz,International,Cheating
76561198121488264,Hi im hugo,Italy,Aimbot
76561198385053063,paddy,International,VAC
76561198174873051,scptrx,International,Multihack
76561198260844624,vali.,International,VAC
76561198004469068,Gleb,European,VAC
76561198404506378,svast,Russia,VAC
76561198404506378,svast,Russia,Blacklisted
76561198057185670,Nes[q]uik #90,Turkey,VAC
76561198024215551,eLs,Finland,Match disruption
76561198024215551,eLs,Finland,Racism
76561198797703142,skOp1ks,Russia,VAC - Not TF2
76561198144345082,E H E,Turkey,Failure to upload requested demos twice
76561198144345082,E H E,Turkey,Aimbot
76561198031427432,Casual,Belgium,Multihacks
76561198058092236,quackery,UnitedStates,VAC
76561198383775648,Leps,Bulgaria,Smurfing in FMC#3
76561198842004143,Urufusan,Slovenia,VAC
76561197981239816,wingnutt54,UnitedStates,VAC
76561198274569101,supernaturaL,International,VAC
76561198031030686,tR.Moose,UnitedStates,VAC
76561198029712467,Toast,Denmark,Second failure to upload demos
76561198033813928,2Suicides,Russia,Account Sharing / Multiaccount
76561198033813928,2Suicides,Russia,Harassment
76561198069290297,DarkHunter,Romania,VAC
76561199005528600,nile,International,Expired VAC
76561198187158693,hattipS,International,VAC
76561198187158693,hattipS,International,Blacklisted
76561199219869504,pootis,International,VAC
76561199219869504,pootis,International,VAC
76561198086437177,ddf,Italy,Aimbot
76561198847490574,flaush,International,VAC
76561198272890777,Rexslor,International,VAC
76561198027648770,Cassey,International,VAC
76561198107465065,Osin D,Greece,VAC
76561198029178205,Bun_B,Russia,VAC
76561198250517190,thegera,International,VAC
76561198113004537,dzw,International,VAC ban
76561198050910939,Piney,UnitedKingdom,Failure to provide 3 demo requests.
